Petal.L..Virginica Petal.W..Virginica-1
1.79256e-316 1.12589e-312 -1
0 4.00193e-322 -1
2.12448e-322 2.12448e-322 -1
0 1.17887e-95 -1
9.44782e-96 4.05625e-86 -1
4.45841e-86 9.91602e-96 -1
1.81907e-317 4.00193e-322 -1
1.12466e-312 1.79332e-316 -1
0 0 -1
1.79258e-316 1.79258e-316 -1
1.79258e-316 9.91602e-96 -1
3.39917e-321 1.63042e-322 -1
1.79257e-316 1.12589e-312 -1
0 4.00193e-322 -1
2.2233e-322 2.2233e-322 -1
0 9.91601e-96 -1
8.97965e-96 1.08523e-95 -1
4.65947e-86 4.45841e-86 -1
1.06483e-312 4.00193e-322 -1
1.12466e-312 1.79316e-316 -1
0 1.79262e-316 -1
1.79259e-316 1.79259e-316 -1
1.79259e-316 4.45841e-86 -1
4.34778e-321 1.63042e-322 -1
1.79258e-316 1.12589e-312 -1
0 4.00193e-322 -1
2.32211e-322 2.32211e-322 -1
0 1.13205e-95 -1
8.97965e-96 8.5115e-96 -1
9.916e-96 1.03842e-95 -1
1.06695e-307 4.00193e-322 -1
1.12466e-312 1.79255e-316 -1
1.79297e-316 1.79256e-316 -1
1.7926e-316 1.7926e-316 -1
1.7926e-316 1.03842e-95 -1
5.53354e-322 1.63042e-322 -1
1.79259e-316 1.12589e-312 -1
0 4.00193e-322 -1
2.12448e-322 2.12448e-322 -1
0 1.13205e-95 -1
8.97965e-96 9.916e-96 -1
8.04332e-96 9.91235e-96 -1
1.72193e-317 4.00193e-322 -1
1.12466e-312 1.79327e-316 -1
1.79316e-316 1.79295e-316 -1
1.79261e-316 1.79261e-316 -1
1.79261e-316 9.91234e-96 -1
6.24499e-321 1.63042e-322 -1
1.7926e-316 1.12589e-312 -1
0 4.00193e-322 -1
2.32211e-322 2.32211e-322 -1
0 9.44784e-96 -1
8.51149e-96 8.51151e-96 -1
1.13205e-95 8.51151e-96 -1
1.06695e-307 4.00193e-322 -1
1.12466e-312 1.79332e-316 -1
0 0 -1
1.79262e-316 1.79262e-316 -1
1.79262e-316 8.51151e-96 -1
5.53354e-322 1.63042e-322 -1
1.79261e-316 1.12589e-312 -1
0 4.00193e-322 -1
2.12448e-322 2.12448e-322 -1
0 1.08523e-95 -1
9.44782e-96 1.13205e-95 -1
4.25732e-86 4.05626e-86 -1
1.62455e-317 4.00193e-322 -1
1.12466e-312 1.79258e-316 -1
0 0 -1
1.79263e-316 1.79263e-316 -1
1.79263e-316 4.05626e-86 -1
1.50196e-321 1.63042e-322 -1
1.79262e-316 1.12589e-312 -1
0 4.00193e-322 -1
2.12448e-322 2.12448e-322 -1
0 1.03842e-95 -1
4.4584e-86 4.05625e-86 -1
4.65948e-86 4.45841e-86 -1
1.62455e-317 4.00193e-322 -1
1.12466e-312 1.79328e-316 -1
0 0 -1
1.79263e-316 1.79263e-316 -1
1.79263e-316 4.45841e-86 -1
5.53354e-322 1.63042e-322 -1
1.79263e-316 1.12589e-312 -1
0 4.00193e-322 -1
2.32211e-322 2.32211e-322 -1
0 8.97967e-96 -1
9.91599e-96 1.13205e-95 -1
8.51149e-96 1.08523e-95 -1
1.34508e-307 4.00193e-322 -1
1.12466e-312 1.7932e-316 -1
0 1.79303e-316 -1
1.79264e-316 1.79264e-316 -1
1.79264e-316 1.08523e-95 -1
1.0988e-320 1.63042e-322 -1
1.79264e-316 1.12589e-312 -1
1.58101e-322 4.00193e-322 -1
2.32211e-322 2.32211e-322 -1
0 9.44784e-96 -1
8.51149e-96 1.17887e-95 -1
8.97966e-96 8.97967e-96 -1
9.55694e-308 4.00193e-322 -1
1.12466e-312 1.79253e-316 -1
0 0 -1
1.79265e-316 1.79265e-316 -1
1.79265e-316 8.97967e-96 -1
1.27271e-320 1.63042e-322 -1
1.79265e-316 1.12589e-312 -1
1.58101e-322 4.00193e-322 -1
1.92686e-322 1.92686e-322 -1
0 1.03842e-95 -1
1.03842e-95 3.45302e-86 -1
3.85517e-86 1.34508e-307 -1
5.53354e-322 4.00193e-322 -1
1.12466e-312 1.79298e-316 -1
1.79301e-316 1.79299e-316 -1
1.79266e-316 1.79266e-316 -1
1.79266e-316 1.34508e-307 -1
5.53354e-322 1.63042e-322 -1
1.79266e-316 1.12589e-312 -1
1.58101e-322 4.00193e-322 -1
2.2233e-322 2.2233e-322 -1
0 3.45302e-86 -1
4.4584e-86 4.05626e-86 -1
4.4584e-86 4.05626e-86 -1
1.19215e-312 4.00193e-322 -1
1.12466e-312 1.79304e-316 -1
0 0 -1
1.79267e-316 1.79267e-316 -1
1.79267e-316 4.05626e-86 -1
5.53354e-322 1.63042e-322 -1
1.79267e-316 1.12589e-312 -1
1.58101e-322 4.00193e-322 -1
2.02567e-322 2.02567e-322 -1
0 9.91601e-96 -1
8.51149e-96 9.91235e-96 -1
8.04336e-96 3.45304e-86 -1
2.76677e-322 4.00193e-322 -1
1.12466e-312 1.79295e-316 -1
1.79308e-316 1.79296e-316 -1
1.79268e-316 1.79268e-316 -1
1.79268e-316 3.45303e-86 -1
5.53354e-322 1.63042e-322 -1
1.79268e-316 1.12589e-312 -1
1.58101e-322 4.00193e-322 -1
2.2233e-322 2.2233e-322 -1
0 9.44784e-96 -1
8.51149e-96 4.05626e-86 -1
4.45841e-86 4.25734e-86 -1
1.04361e-312 4.00193e-322 -1
1.12466e-312 1.79308e-316 -1
0 0 -1
1.79269e-316 1.79269e-316 -1
1.79269e-316 4.25734e-86 -1
9.45698e-308 1.63042e-322 -1
1.79268e-316 1.12589e-312 -1
1.58101e-322 2.37991e-320 -1
5.1 3.5 -1
1.4 0.2 -1
7 3.2 -1
4.7 1.4 -1
6.3 3.3 -1
6 2.5 -1
4.9 3 -1
1.4 0.2 -1
6.4 3.2 -1
4.5 1.5 -1
5.8 2.7 -1
5.1 1.9 -1
4.7 3.2 -1
1.3 0.2 -1
6.9 3.1 -1
4.9 1.5 -1
7.1 3 -1
5.9 2.1 -1
4.6 3.1 -1
1.5 0.2 -1
5.5 2.3 -1
4 1.3 -1
6.3 2.9 -1
5.6 1.8 -1
5 3.6 -1
1.4 0.2 -1
6.5 2.8 -1
4.6 1.5 -1
6.5 3 -1
5.8 2.2 -1
5.4 3.9 -1
1.7 0.4 -1
5.7 2.8 -1
4.5 1.3 -1
7.6 3 -1
6.6 2.1 -1
4.6 3.4 -1
1.4 0.3 -1
6.3 3.3 -1
4.7 1.6 -1
4.9 2.5 -1
4.5 1.7 -1
5 3.4 -1
1.5 0.2 -1
4.9 2.4 -1
3.3 1 -1
7.3 2.9 -1
6.3 1.8 -1
4.4 2.9 -1
1.4 0.2 -1
6.6 2.9 -1
4.6 1.3 -1
6.7 2.5 -1
5.8 1.8 -1
4.9 3.1 -1
1.5 0.1 -1
5.2 2.7 -1
3.9 1.4 -1
7.2 3.6 -1
6.1 2.5 -1
5.4 3.7 -1
1.5 0.2 -1
5 2 -1
3.5 1 -1
6.5 3.2 -1
5.1 2 -1
4.8 3.4 -1
1.6 0.2 -1
5.9 3 -1
4.2 1.5 -1
6.4 2.7 -1
5.3 1.9 -1
4.8 3 -1
1.4 0.1 -1
6 2.2 -1
4 1 -1
6.8 3 -1
5.5 2.1 -1
4.3 3 -1
1.1 0.1 -1
6.1 2.9 -1
4.7 1.4 -1
5.7 2.5 -1
5 2 -1
5.8 4 -1
1.2 0.2 -1
5.6 2.9 -1
3.6 1.3 -1
5.8 2.8 -1
5.1 2.4 -1
5.7 4.4 -1
1.5 0.4 -1
6.7 3.1 -1
4.4 1.4 -1
6.4 3.2 -1
5.3 2.3 -1
5.4 3.9 -1
1.3 0.4 -1
5.6 3 -1
4.5 1.5 -1
6.5 3 -1
5.5 1.8 -1
5.1 3.5 -1
1.4 0.3 -1
5.8 2.7 -1
4.1 1 -1
7.7 3.8 -1
6.7 2.2 -1
5.7 3.8 -1
1.7 0.3 -1
6.2 2.2 -1
4.5 1.5 -1
7.7 2.6 -1
6.9 2.3 -1
5.1 3.8 -1
1.5 0.3 -1
5.6 2.5 -1
3.9 1.1 -1
6 2.2 -1
5 1.5 -1
5.4 3.4 -1
1.7 0.2 -1
5.9 3.2 -1
4.8 1.8 -1
6.9 3.2 -1
5.7 2.3 -1
5.1 3.7 -1
1.5 0.4 -1
6.1 2.8 -1
4 1.3 -1
5.6 2.8 -1
4.9 2 -1
4.6 3.6 -1
1 0.2 -1
6.3 2.5 -1
4.9 1.5 -1
7.7 2.8 -1
6.7 2 -1
5.1 3.3 -1
1.7 0.5 -1
6.1 2.8 -1
4.7 1.2 -1
6.3 2.7 -1
4.9 1.8 -1
4.8 3.4 -1
1.9 0.2 -1
6.4 2.9 -1
4.3 1.3 -1
6.7 3.3 -1
5.7 2.1 -1
5 3 -1
1.6 0.2 -1
6.6 3 -1
4.4 1.4 -1
7.2 3.2 -1
6 1.8 -1
5 3.4 -1
1.6 0.4 -1
6.8 2.8 -1
4.8 1.4 -1
6.2 2.8 -1
4.8 1.8 -1
5.2 3.5 -1
1.5 0.2 -1
6.7 3 -1
5 1.7 -1
6.1 3 -1
4.9 1.8 -1
5.2 3.4 -1
1.4 0.2 -1
6 2.9 -1
4.5 1.5 -1
6.4 2.8 -1
5.6 2.1 -1
4.7 3.2 -1
1.6 0.2 -1
5.7 2.6 -1
3.5 1 -1
7.2 3 -1
5.8 1.6 -1
4.8 3.1 -1
1.6 0.2 -1
5.5 2.4 -1
3.8 1.1 -1
7.4 2.8 -1
6.1 1.9 -1
5.4 3.4 -1
1.5 0.4 -1
5.5 2.4 -1
3.7 1 -1
7.9 3.8 -1
6.4 2 -1
5.2 4.1 -1
1.5 0.1 -1
5.8 2.7 -1
3.9 1.2 -1
6.4 2.8 -1
5.6 2.2 -1
5.5 4.2 -1
1.4 0.2 -1
6 2.7 -1
5.1 1.6 -1
6.3 2.8 -1
5.1 1.5 -1
4.9 3.1 -1
1.5 0.2 -1
5.4 3 -1
4.5 1.5 -1
6.1 2.6 -1
5.6 1.4 -1
5 3.2 -1
1.2 0.2 -1
6 3.4 -1
4.5 1.6 -1
7.7 3 -1
6.1 2.3 -1
5.5 3.5 -1
1.3 0.2 -1
6.7 3.1 -1
4.7 1.5 -1
6.3 3.4 -1
5.6 2.4 -1
4.9 3.6 -1
1.4 0.1 -1
6.3 2.3 -1
4.4 1.3 -1
6.4 3.1 -1
5.5 1.8 -1
4.4 3 -1
1.3 0.2 -1
5.6 3 -1
4.1 1.3 -1
6 3 -1
4.8 1.8 -1
5.1 3.4 -1
1.5 0.2 -1
5.5 2.5 -1
4 1.3 -1
6.9 3.1 -1
5.4 2.1 -1
5 3.5 -1
1.3 0.3 -1
5.5 2.6 -1
4.4 1.2 -1
6.7 3.1 -1
5.6 2.4 -1
4.5 2.3 -1
1.3 0.3 -1
6.1 3 -1
4.6 1.4 -1
6.9 3.1 -1
5.1 2.3 -1
4.4 3.2 -1
1.3 0.2 -1
5.8 2.6 -1
4 1.2 -1
5.8 2.7 -1
5.1 1.9 -1
5 3.5 -1
1.6 0.6 -1
5 2.3 -1
3.3 1 -1
6.8 3.2 -1
5.9 2.3 -1
5.1 3.8 -1
1.9 0.4 -1
5.6 2.7 -1
4.2 1.3 -1
6.7 3.3 -1
5.7 2.5 -1
4.8 3 -1
1.4 0.3 -1
5.7 3 -1
4.2 1.2 -1
6.7 3 -1
5.2 2.3 -1
5.1 3.8 -1
1.6 0.2 -1
5.7 2.9 -1
4.2 1.3 -1
6.3 2.5 -1
5 1.9 -1
4.6 3.2 -1
1.4 0.2 -1
6.2 2.9 -1
4.3 1.3 -1
6.5 3 -1
5.2 2 -1
5.3 3.7 -1
1.5 0.2 -1
5.1 2.5 -1
3 1.1 -1
6.2 3.4 -1
5.4 2.3 -1
5 3.3 -1
1.4 0.2 -1
5.7 2.8 -1
4.1 1.3 -1
5.9 3 -1
